LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0782,establishing a committee to study a living wage and the utilization of public assistance among low wage workers and their families in New Hampshire.,HB 509,"This bill clarifies the responsibilities for placement of portraits, flags, busts, statues, or other memorial objects within or on the state house, legislative office building, and Upham Walker house.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=782&txtFormat=html,Tony Caplan,"Timothy Horrigan, Christy Bartlett, Constance Van Houten, Kristina Schultz, Jacqueline Chretien",12/30/2020
21-0783,establishing a committee to study the use of information technology in the legislative process.,,,,Matthew Wilhelm,"Willis Griffith, Joe Alexander, Rebecca Whitley",12/31/2020
21-0784,establishing a criminal penalty for an assault committed against a person who is conveying public health or safety guidance or requirements during a declared state of emergency.,HB 489,"This bill prohibits political committees from contributing $10,000 or more to any other political committee during any election cycle.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=784&txtFormat=html,Kristina Schultz,"Timothy Horrigan, Jerry Knirk, Chuck Grassie, Donald Bouchard, Deb Stevens",12/28/2020
21-0785,establishing a minimum pay rate for adjunct faculty of the university system of New Hampshire and community college system of New Hampshire.,,,,Michael Cahill,"Mel Myler, Arthur Ellison",12/15/2020
21-0788,relative to the degree granting authority of Signum university and relative to the authority of the higher education commission.,,,,James Allard,"Ralph Boehm, Rick Ladd, Glenn Cordelli, Alicia Lekas",12/28/2020
21-0790,relative to the date of the state primary.,,,,Natalie Wells,Gregory Hill,12/31/2020
21-0791,"protecting nascent human life as a reasonable and valid state interest.
",HB 488,This bill establishes a committee to study the benefits of allowing New Hampshire citizens to purchase health insurance from out-of-state companies.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=791&txtFormat=html,Walter Stapleton,"Bill Nelson, Max Abramson, Mark Pearson",12/28/2020
21-0792,relative to ballot column rotation.,,,,Natalie Wells,Gregory Hill,1/4/2021
21-0794,"relative to death benefits for public works employees killed in the line of duty, and relative to workers' compensation offsets for certain retirement system benefits.",,,,Kristina Schultz,"Jeffrey Goley, Dianne Schuett, Timothy Soucy, Linda Harriott-Gathright, Kevin Cavanaugh, Safiya Wazir, Jaci Grote, Rebecca Whitley",1/5/2021
21-0797,requiring maintenance of the COVID-19 dashboard.,,,,Kristina Schultz,,12/15/2020
21-0800,recognizing the authority of states to enact laws protecting the lives of the unborn and call for a Constitutional Convention to propose a human life amendment to the Constitution.,HCR 4,This resolution calls for a constitutional convention to propose an amendment to the United States Constitution stating that a right to abortion is not secured by the Constitution.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=800&txtFormat=html,Max Abramson,,12/22/2020
21-0804,relative to over voted ballots.,,,,Marjorie Porter,Douglas Ley,12/28/2020
21-0806,requiring bond from pharmaceutical companies providing vaccines.,HB 536-FN,This bill establishes a state death benefit for a municipal or state public works employee killed in the line of duty.  The bill also eliminates the offset for workers' compensation benefits applicable to group I accidental death benefit annuities in state retirement system.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=806&txtFormat=html,Jeffrey Greeson,,12/16/2020
21-0807,permitting the use of live-action game cameras.,,,,Terry Roy,"John Reagan, James Spillane",12/17/2020
21-0809,establishing a committee to study the benefits of allowing New Hampshire citizens to purchase health insurance from out-of-state companies.,,,,Jeffrey Greeson,,12/29/2020
21-0813,establishing a student loan ombudsman.,HB 487,This bill establishes an information technology supply chain risk authority.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=813&txtFormat=html,Willis Griffith,,12/30/2020
21-0816,prohibiting certain political contributions.,,,,Kristina Schultz,,12/30/2020
21-0818,requiring a food delivery service to enter into an agreement with a food service establishment or food retail store before offering delivery service from that restaurant.  ,SB 29,This bill allows a medical provider to request an exemption from the department of health and human services to the limitations on THC content in medical marijuana on behalf of a qualifying patient.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=818&txtFormat=html,Matthew Wilhelm,"Jacqueline Chretien, Melbourne Moran, Ariel Oxaal",12/24/2020
21-0819,relative to chartered public school use of unused school district facilities.,,,,Ruth Ward,,1/5/2021
21-0820,relative to charity gaming licenses.,,,,Chuck Morse,,12/22/2020
21-0821,"supporting democracy and human rights in Hungary, Poland, and Hong Kong and supporting democracy in Taiwan.",,,,Peter Somssich,"John Sytek, Gerald Ward, Keith Ammon, Gary Woods, David Meuse, Joan Hamblet",12/28/2020
21-0822,establishing an information technology supply chain risk authority.,SB 27,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=822&txtFormat=html,Peter Somssich,"Gerald Ward, Keith Ammon, Linda Gould, Gary Woods, David Meuse, Joan Hamblet",12/23/2020
21-0823,establishing a surcharge on certain saltwater licenses and establishing a fund for derelict fishing gear and coastal cleanup,,,,David Watters,,1/5/2021
21-0824,"relative to environmental and outdoor education and establishing the New Hampshire youth environmental education and conservation council. 

",,,,David Watters,,1/4/2021
21-0826,relative to historical racing.,,,,Harold French,,1/4/2021
21-0829,relative to prohibiting the installation of certain commercially available heating systems and engaging the services of certain energy providers.,,,,Chuck Morse,,1/5/2021
21-0830,relative to the impaired driver education program.,,,,Harold French,,1/5/2021
21-0832,establishing a broadband matching grant initiative and fund.,,,,Jeb Bradley,,12/24/2020
21-0836,"relative to additional state aid for special education for certain communities of
1,000 or fewer residents.

",,,,Jeb Bradley,Anita Burroughs,12/28/2020
21-0837,"establishing a harm reduction and overdose prevention program in the department of health and human services.
",,,,David Watters,,1/5/2021
21-0838,relative to membership of the professional standards board.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=838&txtFormat=html,Jay Kahn,,11/30/2020
21-0839,relative to electric vehicle supply equipment and infrastructure and relative to state motor vehicle fleet management.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=839&txtFormat=html,David Watters,,12/23/2020
21-0840,relative to certain liquor license fees and establishing 2 liquor investigator positions.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=840&txtFormat=html,Patrick Abrami,"Jeb Bradley, Kenneth Weyler, Fred Doucette",12/1/2020
21-0841, relative to fees for the services of sheriffs and deputy sheriffs.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=841&txtFormat=html,Lou D'Allesandro,,12/15/2020
21-0842,prohibiting incineration of PFAS in New Hampshire,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=842&txtFormat=html,David Watters,,1/5/2021
21-0843,relative to the sale of Lucky 7 tickets.,SB 32,This bill allows for the disbursement of certain funds raised for the purposes of building the fallen state troopers' memorial and requires the governor and executive council to approve the final design of the memorial.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=843&txtFormat=html,Harold French,"John Reagan, Bill Gannon, Erin Hennessey",12/2/2020
21-0846,"adopting the Audiology and Speech-Language Pathology Compact and the Occupational Therapy Compact.

",,,,Tom Sherman,,1/5/2021
21-0852,relative to the fallen state troopers' memorial.,,,,Regina Birdsell,,1/4/2021
21-0853,providing for optional town meeting procedures.,,,,Jay Kahn,,12/28/2020
21-0854,"relative to e-delivery of insurance documents and commercial lines renewal notices.
",,,,Christy Bartlett,"John Hunt, Kevin Cavanaugh",12/29/2020
21-0855,relative to the renomination of teachers.,,,,Jay Kahn,,1/5/2021
21-0856,relative to third party inspections conducted pursuant to a planning board approval.,,,,Jay Kahn,,12/23/2020
21-0857,"relative to advance directives for health care decisions.
",,,,Tom Sherman,,12/24/2020
21-0859,"relative to the licensure and regulation of music therapists.
",,,,Kevin Avard,"Sharon Carson, David Watters, John Reagan, Kat McGhee, Jay Kahn, Tom Sherman, Suzanne Prentiss",1/5/2021
21-0860,"relative to city charter provisions for tax caps.
",,,,Kevin Avard,,12/23/2020
21-0861,requiring employers to provide access to a sufficient space for nursing mothers and reasonable break time.,,,,Rebecca Whitley,"Richard Abel, William Marsh, Safiya Wazir, Rebecca McWilliams, Erin Hennessey, Rebecca Perkins Kwoka",1/5/2021
21-0862,relative to renewable energy procurement.,SB 20,This bill exempts individuals applying to teach a course in a CTE specialty area from the bachelor's degree requirement for a one-year certificate of eligibility to teach.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=862&txtFormat=html,David Watters,,12/28/2020
21-0863,requiring emergency action plans for sports related injuries.,,,,Bill Gannon,,12/28/2020
21-0864,extending unpaid leave benefits to employees for COVID-19 purposes.,,,,Rebecca Whitley,,12/28/2020
21-0865,"relative to a property tax relief program for qualifying residential property in a designated residential property revitalization zone.

",HB 519,This bill makes various technical changes to insurance laws administered by the insurance department.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=865&txtFormat=html,Jay Kahn,,12/28/2020
21-0868,relative to continually appropriating the renewable energy fund to the public utilities commission.,,,,Jeb Bradley,,1/4/2021
21-0869,implementing a mandatory snowmobile and OHRV training program.,,,,David Watters,"George Sykes, Ruth Ward",12/24/2020
21-0870,relative to the expenditure of water funds.,,,,Regina Birdsell,,1/5/2021
21-0871,relative to one year certificates of eligibility to teach.,,,,Jay Kahn,"David Watters, Ruth Ward",1/5/2021
21-0873,relative to a notice to quit for residential tenants.,SB 37,This bill requires the department of health and human services to adopt rules that include certain specific information on marijuana product labels dispensed in alternative treatment centers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=873&txtFormat=html,Rebecca Perkins Kwoka,,12/28/2020
21-0874,relative to technical changes in the laws administered by the insurance department.,,,,John Hunt,,1/5/2021
21-0875,relating to the retirement age for judges.  Providing that the mandatory retirement age for judges is repealed.,,,,Lou D'Allesandro,,1/5/2021
21-0876,enabling municipalities to establish a community preservation and resilience program funded in part through a surcharge on real property.,,,,David Watters,,12/30/2020
21-0877,requiring water districts to provide notice of meetings and to post minutes reflecting business conducted.,,,,David Watters,,1/4/2021
21-0878,"relative to permitting rental assistance prior to receipt of an eviction notice. 
",,,,Rebecca Perkins Kwoka,,1/5/2021
21-0879,relative to management of the secure psychiatric unit facility at New Hampshire hospital.,,,,Harold French,,1/4/2021
21-0881,"relative to hydroelectric generators that share equipment for purposes of interconnection to the electric grid.
",,,,Jeb Bradley,,12/29/2020
21-0884,relative to a state share of retirement system contributions by employers.,SB 38,"This bill permits alternative treatment centers to organize as business corporations and limited liability companies, and provides the procedure for alternative treatment centers organized as voluntary corporations to convert to business corporations or limited liability companies.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=884&txtFormat=html,Cindy Rosenwald,"David Watters, Michael O'Brien, Manny Espitia, Rebecca Whitley",12/30/2020
